Cameo video price,Price Group,Wikipedia,FF Celebrity rating,FF Main category rating,Catergory_Actors,Catergory_Artists,Catergory_Athletes,Catergory_Business People,Catergory_Chefs,Catergory_Comedians,Catergory_Models,Catergory_Musicians,Catergory_Personalities,Catergory_Public Figures,Catergory_Writers,cameo video price category
35.0,$25.00-$49.99,391,8986.0,1431,0,0,0,0,0,0,0,0,0,1,0,$25.00-$49.99
37.0,$25.00-$49.99,379,8561.0,866,0,0,0,0,0,0,0,1,0,0,0,$25.00-$49.99
10.0,$5.00-$9.99,78,31707.0,122,0,0,1,0,0,0,0,0,0,0,0,$5.00-$9.99
100.0,$100-499.99,2417,3174.0,1477,1,0,0,0,0,0,0,0,0,0,0,$100-499.99
100.0,$100-499.99,1598,3181.0,41,0,0,0,0,0,0,1,0,0,0,0,$100-499.99
40.0,$25.00-$49.99,1107,8011.0,3097,1,0,0,0,0,0,0,0,0,0,0,$25.00-$49.99
49.0,$25.00-$49.99,1714,6541.0,2643,1,0,0,0,0,0,0,0,0,0,0,$25.00-$49.99
45.0,$25.00-$49.99,791,7134.0,2823,1,0,0,0,0,0,0,0,0,0,0,$25.00-$49.99
10.0,$5.00-$9.99,252,32152.0,6190,0,0,0,0,0,0,0,0,0,1,0,$5.00-$9.99
100.0,$100-499.99,2909,3223.0,42,0,0,1,0,0,0,0,0,0,0,0,$100-499.99
75.0,$100-499.99,1977,4323.0,1898,1,0,0,0,0,0,0,0,0,0,0,$100-499.99
65.0,$100-499.99,2264,4992.0,2144,1,0,0,0,0,0,0,0,0,0,0,$100-499.99
50.0,$25.00-$49.99,1975,6491.0,2625,1,0,0,0,0,0,0,0,0,0,0,$25.00-$49.99
45.0,$25.00-$49.99,1262,7228.0,2855,1,0,0,0,0,0,0,0,0,0,0,$25.00-$49.99
45.0,$25.00-$49.99,1142,7244.0,1102,0,0,0,0,0,0,0,0,0,1,0,$25.00-$49.99
35.0,$25.00-$49.99,739,9317.0,3460,1,0,0,0,0,0,0,0,0,0,0,$25.00-$49.99
25.0,$10.00-$24.99,679,13075.0,176,0,0,1,0,0,0,0,0,0,0,0,$10.00-$24.99
250.0,$500 and above,6400,1309.0,17,0,0,1,0,0,0,0,0,0,0,0,$500 and above
55.0,$100-499.99,443,5974.0,147,0,0,1,0,0,0,0,0,0,0,0,$100-499.99
65.0,$100-499.99,917,5066.0,73,0,0,1,0,0,0,0,0,0,0,0,$100-499.99
50.0,$25.00-$49.99,730,6586.0,8,0,0,0,0,0,0,1,0,0,0,0,$25.00-$49.99
150.0,$500 and above,748,2199.0,214,0,0,0,0,0,0,0,1,0,0,0,$500 and above
35.0,$25.00-$49.99,700,9487.0,21,0,0,0,0,1,0,0,0,0,0,0,$25.00-$49.99
50.0,$25.00-$49.99,816,6664.0,105,0,0,1,0,0,0,0,0,0,0,0,$25.00-$49.99
85.0,$100-499.99,4581,3923.0,56,0,0,1,0,0,0,0,0,0,0,0,$100-499.99
99.0,$100-499.99,1235,3391.0,139,0,0,0,0,0,0,0,0,0,1,0,$100-499.99
300.0,$500 and above,3595,1126.0,117,0,0,0,0,0,0,0,1,0,0,0,$500 and above
180.0,$500 and above,5382,1878.0,46,0,0,1,0,0,0,0,0,0,0,0,$500 and above
65.0,$100-499.99,1388,5203.0,497,0,0,0,0,0,0,0,1,0,0,0,$100-499.99
55.0,$100-499.99,1323,6158.0,151,0,0,1,0,0,0,0,0,0,0,0,$100-499.99
275.0,$500 and above,4556,1233.0,630,1,0,0,0,0,0,0,0,0,0,0,$500 and above
105.0,$500 and above,1960,3233.0,49,1,0,0,0,0,0,0,0,0,0,0,$500 and above
127.0,$500 and above,4304,2674.0,1270,1,0,0,0,0,0,0,0,0,0,0,$500 and above
150.0,$500 and above,2991,2277.0,1095,1,0,0,0,0,0,0,0,0,0,0,$500 and above
33.0,$25.00-$49.99,661,10441.0,1070,0,0,0,0,0,0,0,1,0,0,0,$25.00-$49.99
15.0,$10.00-$24.99,387,23021.0,418,0,0,1,0,0,0,0,0,0,0,0,$10.00-$24.99
70.0,$100-499.99,1502,4948.0,2130,1,0,0,0,0,0,0,0,0,0,0,$100-499.99
150.0,$500 and above,2755,2318.0,1114,1,0,0,0,0,0,0,0,0,0,0,$500 and above
50.0,$25.00-$49.99,2185,7015.0,2779,1,0,0,0,0,0,0,0,0,0,0,$25.00-$49.99
10.0,$5.00-$9.99,75,35238.0,139,0,0,1,0,0,0,0,0,0,0,0,$5.00-$9.99
75.0,$100-499.99,1306,4703.0,2043,1,0,0,0,0,0,0,0,0,0,0,$100-499.99
80.0,$100-499.99,1328,4432.0,63,0,0,1,0,0,0,0,0,0,0,0,$100-499.99
55.0,$100-499.99,1032,6476.0,2619,1,0,0,0,0,0,0,0,0,0,0,$100-499.99
50.0,$25.00-$49.99,1352,7134.0,1083,0,0,0,0,0,0,0,0,0,1,0,$25.00-$49.99
75.0,$100-499.99,1584,4758.0,1,1,0,0,0,0,0,0,0,0,0,0,$100-499.99
50.0,$25.00-$49.99,2192,7144.0,111,0,0,1,0,0,0,0,0,0,0,0,$25.00-$49.99
50.0,$25.00-$49.99,764,7144.0,1086,0,0,0,0,0,0,0,0,0,1,0,$25.00-$49.99
288.0,$500 and above,6150,1242.0,636,1,0,0,0,0,0,0,0,0,0,0,$500 and above
25.0,$10.00-$24.99,451,14333.0,191,0,0,1,0,0,0,0,0,0,0,0,$10.00-$24.99
77.0,$100-499.99,1105,4654.0,637,0,0,0,0,0,0,0,0,0,1,0,$100-499.99
30.0,$25.00-$49.99,512,11974.0,2032,0,0,0,0,0,0,0,0,0,1,0,$25.00-$49.99
125.0,$500 and above,6288,2874.0,1355,1,0,0,0,0,0,0,0,0,0,0,$500 and above
99.0,$100-499.99,2134,3633.0,465,0,0,0,0,0,0,0,0,0,1,0,$100-499.99
30.0,$25.00-$49.99,954,12082.0,4177,1,0,0,0,0,0,0,0,0,0,0,$25.00-$49.99
45.0,$25.00-$49.99,301,8061.0,218,0,0,1,0,0,0,0,0,0,0,0,$25.00-$49.99
150.0,$500 and above,3629,2421.0,1161,1,0,0,0,0,0,0,0,0,0,0,$500 and above
99.0,$100-499.99,1536,3673.0,1668,1,0,0,0,0,0,0,0,0,0,0,$100-499.99
20.0,$10.00-$24.99,118,18220.0,1992,0,0,0,0,0,0,0,1,0,0,0,$10.00-$24.99
40.0,$25.00-$49.99,647,9156.0,3420,1,0,0,0,0,0,0,0,0,0,0,$25.00-$49.99
150.0,$500 and above,2131,2443.0,235,0,0,0,0,0,0,0,1,0,0,0,$500 and above
20.0,$10.00-$24.99,157,18429.0,3353,0,0,0,0,0,0,0,0,0,1,0,$10.00-$24.99
40.0,$25.00-$49.99,995,9295.0,3453,1,0,0,0,0,0,0,0,0,0,0,$25.00-$49.99
50.0,$25.00-$49.99,1102,7474.0,2931,1,0,0,0,0,0,0,0,0,0,0,$25.00-$49.99
40.0,$25.00-$49.99,793,9353.0,1497,0,0,0,0,0,0,0,0,0,1,0,$25.00-$49.99
40.0,$25.00-$49.99,408,9388.0,1504,0,0,0,0,0,0,0,0,0,1,0,$25.00-$49.99
60.0,$100-499.99,1875,6261.0,2553,1,0,0,0,0,0,0,0,0,0,0,$100-499.99
15.0,$10.00-$24.99,514,25049.0,452,0,0,1,0,0,0,0,0,0,0,0,$10.00-$24.99
75.0,$100-499.99,2401,5027.0,37,0,0,1,0,0,0,0,0,0,0,0,$100-499.99
400.0,$500 and above,6996,945.0,8,0,0,1,0,0,0,0,0,0,0,0,$500 and above
60.0,$100-499.99,2439,6311.0,50,0,0,1,0,0,0,0,0,0,0,0,$100-499.99
25.0,$10.00-$24.99,293,15170.0,2683,0,0,0,0,0,0,0,0,0,1,0,$10.00-$24.99
59.0,$100-499.99,1593,6462.0,19,0,0,0,0,0,0,0,0,1,0,0,$100-499.99
99.0,$100-499.99,2054,3852.0,1733,1,0,0,0,0,0,0,0,0,0,0,$100-499.99
57.0,$100-499.99,1748,6712.0,4,0,0,1,0,0,0,0,0,0,0,0,$100-499.99
60.0,$100-499.99,982,6393.0,106,0,0,1,0,0,0,0,0,0,0,0,$100-499.99
400.0,$500 and above,4510,959.0,103,0,0,0,0,0,0,0,1,0,0,0,$500 and above
50.0,$25.00-$49.99,922,7684.0,3004,1,0,0,0,0,0,0,0,0,0,0,$25.00-$49.99
60.0,$100-499.99,645,6446.0,961,0,0,0,0,0,0,0,0,0,1,0,$100-499.99
80.0,$100-499.99,2151,4839.0,2092,1,0,0,0,0,0,0,0,0,0,0,$100-499.99
15.0,$10.00-$24.99,183,25863.0,2907,0,0,0,0,0,0,0,1,0,0,0,$10.00-$24.99
100.0,$100-499.99,2387,3882.0,378,0,0,0,0,0,0,0,1,0,0,0,$100-499.99
75.0,$100-499.99,1618,5198.0,2214,1,0,0,0,0,0,0,0,0,0,0,$100-499.99
30.0,$25.00-$49.99,192,13014.0,175,0,0,1,0,0,0,0,0,0,0,0,$25.00-$49.99
49.0,$25.00-$49.99,1178,7971.0,3084,1,0,0,0,0,0,0,0,0,0,0,$25.00-$49.99
199.0,$500 and above,3520,1966.0,967,1,0,0,0,0,0,0,0,0,0,0,$500 and above
200.0,$500 and above,10031,1962.0,964,1,0,0,0,0,0,0,0,0,0,0,$500 and above
25.0,$10.00-$24.99,874,15745.0,5039,1,0,0,0,0,0,0,0,0,0,0,$10.00-$24.99
20.0,$10.00-$24.99,160,19715.0,588,0,0,1,0,0,0,0,0,0,0,0,$10.00-$24.99
75.0,$100-499.99,701,5266.0,741,0,0,0,0,0,0,0,0,0,1,0,$100-499.99
100.0,$100-499.99,1960,3954.0,1769,1,0,0,0,0,0,0,0,0,0,0,$100-499.99
