Full name,Price Group,Cameo video price,Wikipedia,FF Celebrity rating,FF Main category rating,Catergory_Actors,Catergory_Artists,Catergory_Athletes,Catergory_Business People,Catergory_Chefs,Catergory_Comedians,Catergory_Models,Catergory_Musicians,Catergory_Personalities,Catergory_Public Figures,Catergory_Writers
Shawn Oakman,5,100.0,326,12893.0,361,0,0,1,0,0,0,0,0,0,0,0
Michael Bell,4,40.0,315,32256.0,8195,1,0,0,0,0,0,0,0,0,0,0
Jake Webster,2,7.5,14,172049.0,1755,0,0,1,0,0,0,0,0,0,0,0
John Brotherton,5,65.0,265,19866.0,5940,1,0,0,0,0,0,0,0,0,0,0
Marquise Goodwin,5,75.0,2167,17234.0,507,0,0,1,0,0,0,0,0,0,0,0
Scott Ian,5,75.0,645,17234.0,1857,0,0,0,0,0,0,0,1,0,0,0
Rekha Sharma,4,33.0,185,39178.0,9188,1,0,0,0,0,0,0,0,0,0,0
Coco Lee,4,50.0,233,25863.0,129,0,0,0,0,0,0,0,0,1,0,0
Herman Li,4,50.0,758,25863.0,2907,0,0,0,0,0,0,0,1,0,0,0
Leah Cairns,4,30.0,167,43141.0,9779,1,0,0,0,0,0,0,0,0,0,0
Julie Kedzie,3,25.0,58,51809.0,673,0,0,1,0,0,0,0,0,0,0,0
Alexis Ajinça,3,25.0,60,51809.0,1358,0,0,1,0,0,0,0,0,0,0,0
Kendall Marshall,4,50.0,212,25926.0,719,0,0,1,0,0,0,0,0,0,0,0
Will Kemp,5,55.0,323,23571.0,4405,0,0,0,0,0,0,0,0,0,1,0
Pablo Azar,3,15.0,26,86478.0,2977,1,0,0,0,0,0,0,0,0,0,0
Braian Angola,3,15.0,74,86478.0,2080,0,0,1,0,0,0,0,0,0,0,0
Sebastian Eslava,3,15.0,54,86478.0,16553,0,0,0,0,0,0,0,0,0,1,0
Jackson Jeffcoat,3,15.0,51,86478.0,3107,0,0,1,0,0,0,0,0,0,0,0
Darby Hinton,4,35.0,1,37081.0,8906,1,0,0,0,0,0,0,0,0,0,0
Porter Moser,4,35.0,18,37081.0,222,0,0,1,0,0,0,0,0,0,0,0
Elliott Yamin,4,40.0,176,32456.0,3715,0,0,0,0,0,0,0,1,0,0,0
Chi Chi LaRue,4,40.0,209,32456.0,263,1,0,0,0,0,0,0,0,0,0,0
Neil Jones,5,55.0,197,23623.0,16,0,0,1,0,0,0,0,0,0,0,0
Matthew Nelson,4,50.0,171,25993.0,2926,0,0,0,0,0,0,0,1,0,0,0
